,filename,position
0,0,"[632, 421, 64, 45]"
1,0,"[633, 441, 65, 46]"
2,0,"[901, 445, 56, 58]"
3,1,"[584, 424, 214, 133]"
4,3,"[533, 434, 311, 170]"
5,4,"[560, 410, 266, 124]"
6,4,"[650, 408, 225, 132]"
7,5,"[580, 397, 273, 106]"
8,6,"[540, 413, 332, 173]"
9,8,"[958, 447, 46, 60]"
10,9,"[584, 387, 313, 86]"
11,11,"[561, 427, 335, 135]"
12,11,"[597, 388, 300, 85]"
13,11,"[674, 395, 236, 82]"
14,11,"[556, 438, 343, 131]"
15,13,"[552, 416, 278, 95]"
16,14,"[942, 470, 35, 36]"
17,16,"[150, 440, 44, 60]"
18,16,"[1003, 462, 34, 48]"
19,18,"[577, 382, 298, 81]"
20,19,"[1012, 456, 35, 44]"
21,20,"[808, 437, 69, 40]"
22,22,"[580, 394, 185, 70]"
23,25,"[3, 434, 54, 83]"
24,26,"[1063, 470, 37, 51]"
25,26,"[1071, 501, 49, 69]"
26,29,"[1270, 503, 116, 77]"
27,31,"[1210, 505, 155, 75]"
28,32,"[1132, 489, 36, 33]"
29,32,"[1146, 496, 54, 48]"
30,32,"[1186, 497, 165, 73]"
31,35,"[824, 458, 50, 30]"
32,35,"[846, 452, 125, 42]"
33,37,"[909, 480, 44, 45]"
34,40,"[465, 469, 955, 329]"
35,42,"[554, 485, 625, 265]"
36,42,"[684, 481, 751, 264]"
37,43,"[498, 448, 500, 165]"
38,51,"[604, 435, 277, 106]"
39,52,"[653, 429, 167, 77]"
40,53,"[678, 426, 110, 57]"
41,54,"[691, 425, 86, 50]"
42,63,"[713, 427, 64, 40]"
43,68,"[476, 455, 137, 90]"
44,69,"[344, 438, 424, 271]"
45,69,"[481, 453, 144, 94]"
46,70,"[322, 410, 278, 190]"
47,70,"[334, 430, 269, 187]"
48,70,"[415, 446, 289, 182]"
49,70,"[488, 430, 256, 153]"
50,71,"[320, 382, 284, 282]"
51,71,"[393, 422, 218, 148]"
52,71,"[851, 470, 80, 42]"
53,72,"[391, 412, 213, 197]"
54,73,"[431, 425, 176, 150]"
55,73,"[422, 425, 344, 264]"
56,74,"[454, 430, 168, 131]"
57,74,"[451, 401, 376, 173]"
58,74,"[467, 429, 306, 241]"
59,75,"[252, 438, 43, 64]"
60,75,"[455, 433, 160, 121]"
61,75,"[448, 432, 333, 227]"
62,76,"[585, 426, 194, 132]"
63,76,"[461, 432, 164, 120]"
64,76,"[560, 433, 247, 163]"
65,76,"[338, 399, 82, 39]"
66,76,"[264, 410, 108, 72]"
67,76,"[16, 421, 251, 116]"
68,76,"[181, 419, 155, 119]"
69,76,"[600, 387, 287, 82]"
70,77,"[517, 465, 337, 201]"
71,77,"[548, 477, 310, 187]"
72,78,"[210, 429, 44, 71]"
73,79,"[212, 413, 46, 64]"
74,79,"[208, 431, 49, 77]"
75,79,"[206, 422, 68, 99]"
76,79,"[497, 398, 382, 173]"
77,79,"[369, 483, 220, 155]"
78,79,"[534, 315, 263, 83]"
79,79,"[547, 399, 270, 76]"
80,80,"[541, 404, 339, 121]"
81,80,"[520, 394, 379, 172]"
82,81,"[136, 362, 83, 115]"
83,81,"[195, 436, 67, 66]"
84,81,"[564, 403, 316, 98]"
85,81,"[494, 423, 254, 108]"
86,82,"[508, 422, 400, 214]"
87,83,"[437, 406, 280, 146]"
88,83,"[513, 421, 244, 122]"
89,83,"[451, 428, 279, 152]"
90,83,"[472, 432, 300, 156]"
91,83,"[15, 474, 225, 111]"
92,83,"[446, 519, 484, 255]"
93,84,"[74, 444, 139, 82]"
94,84,"[79, 453, 145, 86]"
95,84,"[441, 425, 225, 122]"
96,85,"[448, 432, 188, 117]"
97,85,"[454, 437, 335, 222]"
98,87,"[18, 392, 89, 186]"
99,87,"[74, 405, 125, 153]"
100,87,"[525, 422, 250, 111]"
101,87,"[532, 416, 245, 104]"
102,88,"[496, 428, 207, 108]"
103,88,"[57, 407, 80, 113]"
104,88,"[45, 409, 121, 144]"
105,88,"[98, 420, 196, 128]"
106,88,"[579, 411, 273, 98]"
107,89,"[51, 420, 129, 112]"
108,89,"[82, 426, 191, 114]"
109,90,"[42, 430, 86, 88]"
110,90,"[44, 418, 111, 121]"
111,90,"[876, 453, 142, 84]"
112,90,"[695, 394, 161, 92]"
113,91,"[77, 392, 93, 107]"
114,91,"[467, 442, 146, 97]"
115,91,"[699, 407, 147, 99]"
116,92,"[501, 411, 273, 139]"
117,92,"[456, 435, 308, 221]"
118,93,"[610, 418, 190, 129]"
119,93,"[838, 500, 54, 40]"
120,93,"[439, 421, 245, 217]"
121,93,"[503, 408, 268, 103]"
122,93,"[517, 423, 248, 120]"
123,95,"[680, 421, 116, 83]"
124,95,"[545, 435, 165, 110]"
125,96,"[0, 457, 71, 134]"
126,96,"[611, 412, 177, 68]"
127,97,"[445, 431, 165, 129]"
128,97,"[656, 421, 159, 84]"
129,97,"[3, 461, 82, 131]"
130,97,"[512, 415, 204, 155]"
131,97,"[557, 413, 230, 59]"
132,97,"[472, 504, 447, 272]"
133,97,"[842, 465, 64, 46]"
134,97,"[801, 439, 131, 91]"
135,98,"[704, 421, 98, 64]"
136,98,"[5, 463, 90, 130]"
137,98,"[450, 442, 149, 106]"
138,99,"[456, 439, 152, 107]"
139,99,"[885, 457, 141, 83]"
140,99,"[441, 454, 136, 127]"
141,99,"[5, 458, 108, 138]"
142,100,"[484, 416, 191, 92]"
143,100,"[2, 435, 127, 156]"
144,100,"[2, 408, 182, 195]"
145,100,"[434, 435, 146, 113]"
146,101,"[449, 436, 223, 180]"
147,101,"[1, 439, 135, 133]"
148,101,"[461, 431, 180, 96]"
149,101,"[812, 440, 691, 204]"
150,101,"[468, 433, 317, 201]"
151,101,"[534, 403, 239, 73]"
152,102,"[443, 436, 203, 153]"
153,102,"[401, 422, 247, 229]"
154,102,"[490, 423, 219, 119]"
155,102,"[0, 428, 142, 140]"
156,102,"[497, 434, 222, 139]"
157,103,"[605, 428, 155, 124]"
158,103,"[432, 427, 175, 187]"
159,103,"[0, 414, 161, 162]"
160,103,"[413, 432, 197, 141]"
161,103,"[492, 433, 200, 134]"
162,103,"[415, 421, 266, 240]"
163,104,"[561, 418, 202, 97]"
164,104,"[395, 425, 193, 153]"
165,104,"[1, 427, 171, 163]"
166,105,"[541, 405, 220, 84]"
167,105,"[11, 422, 177, 156]"
168,105,"[496, 429, 197, 102]"
169,105,"[538, 426, 231, 95]"
170,105,"[502, 433, 333, 199]"
171,106,"[20, 440, 181, 148]"
172,106,"[477, 418, 245, 159]"
173,106,"[521, 401, 267, 79]"
174,106,"[16, 428, 186, 136]"
175,106,"[492, 414, 212, 102]"
176,106,"[491, 425, 317, 94]"
177,106,"[396, 399, 545, 163]"
178,107,"[632, 428, 158, 64]"
179,107,"[597, 422, 176, 128]"
180,107,"[503, 414, 224, 111]"
181,107,"[24, 427, 194, 153]"
182,107,"[456, 422, 224, 134]"
183,107,"[557, 432, 179, 93]"
184,108,"[41, 421, 191, 152]"
185,109,"[47, 419, 196, 155]"
186,109,"[454, 452, 168, 84]"
187,109,"[747, 461, 53, 27]"
188,110,"[483, 430, 211, 69]"
189,110,"[53, 422, 206, 152]"
190,110,"[413, 442, 148, 92]"
191,110,"[453, 446, 169, 93]"
192,110,"[487, 445, 215, 83]"
193,111,"[57, 426, 206, 142]"
194,111,"[474, 439, 172, 85]"
195,111,"[522, 443, 216, 78]"
196,112,"[65, 426, 214, 135]"
197,112,"[400, 407, 242, 153]"
198,112,"[452, 436, 181, 96]"
199,112,"[810, 445, 679, 202]"
200,113,"[67, 422, 229, 151]"
201,113,"[389, 416, 199, 133]"
202,113,"[418, 428, 210, 120]"
203,113,"[808, 445, 692, 197]"
204,114,"[763, 417, 45, 57]"
205,114,"[784, 445, 370, 123]"
206,114,"[83, 414, 234, 160]"
207,114,"[376, 424, 183, 122]"
208,114,"[418, 428, 190, 120]"
209,114,"[834, 468, 53, 39]"
210,115,"[377, 433, 159, 110]"
211,115,"[416, 439, 162, 108]"
212,115,"[91, 419, 233, 179]"
213,115,"[807, 444, 513, 163]"
214,115,"[604, 432, 255, 180]"
215,116,"[110, 420, 225, 163]"
216,116,"[376, 431, 151, 100]"
217,116,"[429, 440, 159, 94]"
218,116,"[477, 439, 188, 94]"
219,116,"[781, 450, 286, 103]"
220,116,"[832, 467, 56, 39]"
221,116,"[932, 468, 50, 40]"
222,116,"[123, 425, 212, 192]"
223,116,"[547, 403, 197, 67]"
224,116,"[783, 371, 154, 122]"
225,117,"[401, 443, 101, 77]"
226,117,"[731, 440, 517, 159]"
227,117,"[417, 444, 150, 88]"
228,117,"[491, 444, 175, 89]"
229,117,"[113, 420, 218, 192]"
230,117,"[789, 370, 144, 118]"
231,118,"[445, 453, 84, 66]"
232,118,"[750, 443, 280, 101]"
233,118,"[242, 398, 214, 170]"
234,118,"[647, 436, 356, 137]"
235,118,"[56, 429, 176, 194]"
236,118,"[577, 378, 184, 94]"
237,119,"[628, 432, 234, 84]"
238,119,"[449, 449, 133, 81]"
239,119,"[187, 422, 219, 174]"
240,119,"[785, 445, 483, 147]"
241,119,"[588, 419, 288, 104]"
242,120,"[0, 447, 43, 73]"
243,120,"[428, 452, 90, 73]"
244,120,"[15, 423, 92, 129]"
245,120,"[166, 419, 228, 161]"
246,120,"[425, 442, 129, 94]"
247,120,"[456, 454, 173, 95]"
248,121,"[415, 439, 108, 90]"
249,121,"[855, 468, 50, 36]"
250,121,"[443, 455, 122, 77]"
251,121,"[154, 433, 231, 157]"
252,122,"[2, 443, 107, 194]"
253,122,"[435, 444, 139, 91]"
254,122,"[162, 435, 223, 161]"
255,123,"[761, 417, 42, 45]"
256,123,"[767, 450, 39, 44]"
257,123,"[484, 413, 179, 84]"
258,123,"[148, 403, 246, 198]"
259,123,"[440, 436, 160, 110]"
260,123,"[427, 434, 454, 326]"
261,124,"[155, 407, 239, 178]"
262,124,"[602, 441, 251, 165]"
263,125,"[165, 402, 230, 183]"
264,125,"[164, 427, 233, 166]"
265,126,"[181, 386, 263, 210]"
266,126,"[553, 440, 207, 86]"
267,127,"[196, 403, 252, 171]"
268,127,"[502, 437, 193, 103]"
269,128,"[523, 417, 193, 86]"
270,128,"[0, 408, 143, 156]"
271,128,"[188, 376, 280, 211]"
272,128,"[483, 440, 165, 102]"
273,128,"[532, 439, 187, 88]"
274,128,"[794, 378, 125, 104]"
275,129,"[363, 394, 259, 163]"
276,130,"[292, 413, 245, 138]"
277,130,"[281, 365, 285, 216]"
278,131,"[393, 406, 249, 101]"
279,131,"[263, 421, 241, 128]"
280,131,"[244, 393, 293, 184]"
281,131,"[411, 398, 250, 163]"
282,131,"[854, 453, 607, 184]"
283,132,"[453, 405, 237, 83]"
284,132,"[217, 395, 335, 159]"
285,132,"[309, 417, 246, 112]"
286,132,"[422, 422, 215, 103]"
287,133,"[69, 347, 143, 172]"
288,133,"[62, 414, 153, 129]"
289,133,"[325, 384, 258, 164]"
290,133,"[788, 377, 170, 100]"
291,134,"[51, 360, 171, 144]"
292,134,"[48, 382, 168, 154]"
293,134,"[280, 399, 248, 164]"
294,134,"[37, 370, 207, 215]"
295,136,"[124, 373, 247, 179]"
296,137,"[172, 403, 262, 150]"
297,137,"[119, 391, 466, 173]"
298,137,"[485, 452, 391, 302]"
299,138,"[627, 436, 217, 173]"
300,138,"[264, 397, 208, 109]"
301,138,"[643, 425, 264, 192]"
302,139,"[705, 415, 180, 129]"
303,140,"[61, 409, 608, 166]"
304,140,"[318, 433, 240, 121]"
305,140,"[472, 439, 162, 112]"
306,141,"[79, 417, 386, 136]"
307,141,"[185, 425, 449, 137]"
308,141,"[792, 383, 151, 99]"
309,142,"[185, 397, 269, 118]"
310,144,"[205, 334, 193, 158]"
311,144,"[157, 416, 222, 98]"
312,144,"[489, 445, 411, 304]"
313,145,"[265, 387, 243, 225]"
314,145,"[141, 361, 193, 124]"
315,145,"[272, 387, 222, 140]"
316,146,"[306, 389, 329, 144]"
317,146,"[206, 409, 197, 158]"
318,146,"[237, 406, 269, 174]"
319,146,"[300, 417, 239, 169]"
320,146,"[266, 389, 422, 197]"
321,146,"[798, 369, 136, 109]"
322,147,"[830, 358, 91, 39]"
323,147,"[782, 367, 157, 108]"
324,147,"[396, 418, 367, 235]"
325,148,"[445, 409, 315, 152]"
326,148,"[371, 427, 280, 175]"
327,148,"[285, 416, 359, 226]"
328,148,"[656, 409, 248, 165]"
329,149,"[937, 481, 50, 31]"
330,150,"[292, 440, 294, 308]"
331,150,"[140, 395, 616, 158]"
332,152,"[260, 437, 338, 251]"
333,152,"[828, 494, 48, 51]"
334,152,"[231, 435, 352, 253]"
335,153,"[476, 440, 52, 55]"
336,153,"[467, 431, 76, 84]"
337,153,"[318, 433, 254, 184]"
338,153,"[838, 478, 44, 44]"
339,153,"[313, 420, 354, 155]"
340,153,"[155, 400, 578, 160]"
341,154,"[403, 436, 146, 85]"
342,154,"[835, 471, 47, 42]"
343,154,"[323, 443, 231, 167]"
344,154,"[404, 424, 236, 59]"
345,154,"[330, 439, 211, 81]"
346,154,"[405, 419, 298, 100]"
347,155,"[88, 402, 148, 158]"
348,155,"[403, 417, 236, 76]"
349,155,"[226, 434, 231, 142]"
350,155,"[276, 423, 367, 115]"
351,155,"[405, 426, 216, 100]"
352,156,"[79, 405, 139, 157]"
353,156,"[377, 423, 226, 100]"
354,156,"[438, 424, 194, 99]"
355,156,"[99, 422, 328, 163]"
356,156,"[125, 409, 282, 162]"
357,157,"[319, 435, 290, 188]"
358,157,"[110, 418, 170, 134]"
359,157,"[355, 431, 230, 104]"
360,157,"[120, 423, 351, 170]"
361,157,"[816, 373, 118, 105]"
362,157,"[874, 374, 166, 105]"
363,158,"[206, 428, 425, 172]"
364,159,"[362, 420, 336, 115]"
365,159,"[179, 423, 411, 165]"
366,159,"[820, 371, 144, 125]"
367,160,"[352, 431, 282, 108]"
368,160,"[805, 394, 115, 127]"
369,160,"[243, 415, 478, 140]"
370,161,"[451, 411, 254, 96]"
371,161,"[226, 432, 416, 144]"
372,162,"[396, 405, 342, 74]"
373,162,"[249, 416, 416, 124]"
374,163,"[362, 406, 405, 66]"
375,163,"[308, 409, 370, 122]"
376,164,"[297, 402, 507, 113]"
377,164,"[976, 455, 135, 89]"
378,164,"[828, 374, 214, 110]"
379,165,"[250, 402, 440, 150]"
380,165,"[953, 466, 104, 62]"
381,166,"[6, 439, 54, 66]"
382,166,"[5, 422, 83, 119]"
383,166,"[229, 406, 426, 163]"
384,166,"[884, 429, 125, 77]"
385,167,"[8, 436, 50, 72]"
386,167,"[239, 342, 511, 183]"
387,167,"[14, 420, 55, 60]"
388,167,"[5, 404, 74, 90]"
389,167,"[5, 429, 66, 89]"
390,167,"[214, 413, 355, 164]"
391,167,"[222, 364, 630, 201]"
392,167,"[219, 324, 639, 203]"
393,167,"[822, 363, 241, 127]"
394,168,"[5, 430, 83, 87]"
395,168,"[331, 391, 353, 140]"
396,168,"[255, 317, 520, 177]"
397,168,"[239, 372, 448, 181]"
398,168,"[238, 331, 568, 192]"
399,168,"[842, 369, 186, 113]"
400,169,"[320, 392, 406, 102]"
401,169,"[3, 423, 97, 107]"
402,169,"[288, 391, 458, 158]"
403,169,"[924, 475, 71, 42]"
404,169,"[882, 454, 137, 82]"
405,169,"[1025, 477, 56, 39]"
406,169,"[985, 449, 138, 93]"
407,170,"[935, 473, 58, 45]"
408,170,"[3, 421, 114, 108]"
409,170,"[289, 399, 381, 142]"
410,170,"[385, 411, 286, 107]"
411,170,"[871, 417, 145, 85]"
412,171,"[651, 435, 209, 53]"
413,171,"[4, 421, 132, 105]"
414,171,"[266, 400, 387, 166]"
415,171,"[875, 421, 93, 87]"
416,172,"[357, 416, 273, 132]"
417,172,"[745, 450, 126, 47]"
418,172,"[2, 377, 151, 148]"
419,172,"[260, 403, 374, 172]"
420,172,"[732, 403, 165, 85]"
421,172,"[851, 368, 168, 116]"
422,173,"[6, 400, 148, 127]"
423,173,"[313, 419, 224, 122]"
424,173,"[316, 406, 306, 161]"
425,174,"[59, 424, 104, 92]"
426,174,"[379, 427, 199, 114]"
427,174,"[846, 455, 49, 41]"
428,174,"[288, 408, 292, 151]"
429,174,"[871, 428, 155, 102]"
430,174,"[869, 388, 175, 92]"
431,175,"[50, 427, 125, 97]"
432,175,"[328, 417, 273, 143]"
