,filename,position
0,3,"[430, 734, 235, 76]"
1,3,"[385, 725, 341, 180]"
2,7,"[220, 89, 1463, 565]"
3,7,"[624, 442, 62, 66]"
4,7,"[0, 403, 1696, 500]"
5,7,"[610, 420, 119, 92]"
6,13,"[737, 402, 90, 170]"
7,13,"[785, 557, 206, 71]"
8,14,"[799, 578, 294, 125]"
9,18,"[412, 656, 106, 98]"
10,19,"[855, 628, 212, 71]"
11,19,"[850, 664, 231, 102]"
12,24,"[242, 453, 226, 84]"
13,24,"[1454, 457, 75, 46]"
14,36,"[1038, 450, 467, 335]"
15,37,"[1548, 468, 43, 52]"
16,37,"[1548, 510, 61, 65]"
17,37,"[1520, 489, 97, 111]"
18,37,"[0, 475, 45, 230]"
19,37,"[937, 420, 61, 33]"
20,37,"[507, 455, 86, 38]"
21,37,"[213, 530, 81, 50]"
22,37,"[191, 508, 153, 74]"
23,37,"[1142, 488, 236, 116]"
24,37,"[1121, 552, 316, 203]"
25,37,"[1547, 544, 66, 65]"
26,38,"[1591, 440, 81, 123]"
27,38,"[1605, 510, 59, 67]"
28,38,"[845, 554, 51, 69]"
29,38,"[1617, 544, 56, 58]"
30,38,"[1520, 462, 60, 53]"
31,38,"[1516, 460, 100, 89]"
32,38,"[645, 517, 67, 42]"
33,38,"[729, 519, 78, 41]"
34,38,"[678, 497, 136, 72]"
35,38,"[1093, 453, 190, 188]"
36,38,"[626, 546, 138, 60]"
37,38,"[885, 550, 66, 67]"
38,38,"[1073, 508, 224, 158]"
39,38,"[1339, 504, 81, 45]"
40,38,"[1106, 435, 160, 102]"
41,39,"[1372, 510, 161, 84]"
42,39,"[1476, 494, 156, 115]"
43,39,"[1505, 560, 85, 64]"
44,39,"[663, 438, 173, 114]"
45,39,"[859, 461, 48, 42]"
46,39,"[919, 469, 58, 37]"
47,39,"[876, 456, 111, 76]"
48,39,"[1076, 428, 152, 97]"
49,39,"[1049, 466, 209, 155]"
50,39,"[1291, 510, 195, 60]"
51,39,"[921, 494, 53, 42]"
52,39,"[1377, 539, 188, 71]"
53,39,"[1475, 529, 139, 94]"
54,39,"[1071, 401, 150, 88]"
55,40,"[729, 466, 58, 61]"
56,40,"[627, 477, 81, 49]"
57,40,"[595, 465, 125, 78]"
58,40,"[707, 449, 117, 77]"
59,40,"[23, 499, 203, 103]"
60,41,"[759, 394, 46, 68]"
61,41,"[741, 388, 74, 108]"
62,41,"[960, 416, 29, 33]"
63,41,"[506, 418, 105, 136]"
64,41,"[590, 415, 99, 119]"
65,41,"[745, 441, 43, 70]"
66,41,"[709, 428, 94, 91]"
67,41,"[844, 443, 44, 58]"
68,41,"[9, 307, 449, 252]"
69,41,"[1334, 417, 70, 42]"
70,41,"[1309, 410, 144, 65]"
71,41,"[1003, 561, 492, 199]"
72,41,"[923, 443, 64, 47]"
73,41,"[1436, 454, 58, 48]"
74,41,"[1405, 438, 121, 85]"
75,42,"[984, 548, 116, 126]"
76,42,"[846, 447, 43, 54]"
77,42,"[1027, 442, 447, 313]"
78,42,"[1008, 451, 58, 45]"
79,43,"[1649, 596, 227, 115]"
80,43,"[488, 416, 175, 54]"
81,43,"[515, 445, 96, 31]"
82,43,"[638, 445, 59, 43]"
83,43,"[688, 457, 146, 93]"
84,43,"[832, 464, 57, 39]"
85,43,"[807, 456, 140, 84]"
86,43,"[886, 456, 121, 80]"
87,43,"[427, 445, 282, 208]"
88,43,"[849, 497, 55, 60]"
89,43,"[1096, 506, 161, 73]"
90,43,"[1700, 576, 106, 45]"
91,43,"[1657, 556, 175, 82]"
92,43,"[810, 476, 125, 91]"
93,44,"[514, 475, 46, 39]"
94,44,"[1153, 428, 66, 29]"
95,44,"[1140, 442, 126, 89]"
96,44,"[1438, 446, 46, 43]"
97,44,"[152, 502, 257, 105]"
98,44,"[54, 549, 189, 67]"
99,44,"[447, 492, 135, 68]"
100,45,"[932, 465, 42, 32]"
101,45,"[1004, 456, 156, 71]"
102,45,"[1135, 467, 50, 33]"
103,45,"[1230, 465, 47, 37]"
104,45,"[1332, 469, 62, 48]"
105,45,"[1441, 474, 49, 39]"
106,45,"[458, 478, 188, 94]"
107,45,"[1333, 483, 114, 65]"
108,46,"[833, 469, 61, 32]"
109,46,"[931, 466, 49, 33]"
110,46,"[1009, 470, 69, 37]"
111,46,"[1128, 462, 58, 37]"
112,46,"[1225, 461, 71, 32]"
113,46,"[1544, 460, 79, 55]"
114,46,"[1496, 451, 135, 81]"
115,46,"[1645, 456, 59, 61]"
116,47,"[1569, 490, 67, 88]"
117,47,"[849, 418, 479, 334]"
118,47,"[1343, 463, 48, 52]"
119,47,"[1313, 447, 124, 83]"
120,47,"[1441, 458, 50, 56]"
121,47,"[1545, 478, 102, 101]"
122,47,"[1623, 493, 60, 63]"
123,47,"[1585, 477, 118, 91]"
124,48,"[1267, 556, 39, 76]"
125,48,"[72, 391, 1558, 535]"
126,48,"[753, 519, 70, 51]"
127,48,"[1032, 456, 41, 34]"
128,48,"[1128, 461, 61, 29]"
129,48,"[1111, 455, 151, 77]"
130,48,"[1359, 429, 138, 112]"
131,48,"[1095, 482, 173, 111]"
132,48,"[1377, 479, 113, 112]"
133,48,"[1317, 584, 65, 44]"
134,48,"[1281, 556, 109, 109]"
135,48,"[1563, 540, 197, 114]"
136,48,"[819, 512, 74, 49]"
137,48,"[784, 502, 140, 71]"
138,48,"[899, 495, 60, 49]"
139,48,"[1310, 626, 67, 58]"
140,49,"[1257, 415, 42, 38]"
141,49,"[1116, 472, 46, 40]"
142,49,"[1329, 456, 54, 51]"
143,49,"[1433, 464, 56, 42]"
144,49,"[1538, 467, 52, 48]"
145,49,"[1636, 465, 50, 56]"
146,49,"[789, 299, 707, 491]"
147,49,"[1213, 541, 135, 101]"
148,49,"[153, 323, 178, 87]"
149,49,"[281, 307, 192, 100]"
150,49,"[852, 431, 470, 322]"
151,49,"[1305, 454, 118, 89]"
152,49,"[1407, 460, 141, 82]"
153,49,"[1343, 498, 56, 58]"
154,49,"[1435, 491, 106, 90]"
155,49,"[1508, 506, 60, 58]"
156,49,"[1480, 489, 109, 89]"
157,49,"[1445, 543, 73, 57]"
158,50,"[1444, 453, 41, 67]"
159,50,"[1425, 431, 82, 124]"
160,50,"[1542, 458, 49, 55]"
161,50,"[1526, 429, 81, 128]"
162,50,"[1384, 493, 95, 101]"
163,50,"[1533, 492, 82, 101]"
164,50,"[386, 495, 139, 87]"
165,50,"[506, 510, 68, 61]"
166,50,"[481, 487, 132, 92]"
167,50,"[964, 463, 200, 148]"
168,50,"[1225, 502, 82, 38]"
169,50,"[1328, 505, 56, 47]"
170,50,"[1391, 542, 75, 66]"
171,50,"[1540, 543, 63, 64]"
172,51,"[1242, 466, 52, 35]"
173,51,"[1340, 475, 46, 43]"
174,51,"[1454, 460, 40, 38]"
175,51,"[1655, 472, 64, 58]"
176,51,"[1350, 492, 48, 52]"
177,51,"[1543, 506, 60, 58]"
178,51,"[1634, 492, 65, 56]"
179,51,"[1103, 522, 236, 133]"
180,52,"[1435, 448, 82, 109]"
181,52,"[1679, 456, 109, 164]"
182,52,"[1066, 479, 52, 30]"
183,52,"[1128, 468, 65, 30]"
184,52,"[1231, 465, 54, 28]"
185,52,"[1334, 463, 44, 34]"
186,52,"[1494, 455, 101, 80]"
187,52,"[1131, 497, 169, 77]"
188,52,"[1438, 494, 59, 76]"
189,52,"[1664, 550, 140, 102]"
190,52,"[1682, 590, 170, 90]"
191,53,"[983, 459, 125, 77]"
192,53,"[1139, 462, 70, 38]"
193,53,"[1105, 451, 152, 68]"
194,53,"[1348, 468, 61, 42]"
195,53,"[1421, 458, 72, 55]"
196,53,"[1535, 462, 74, 60]"
197,53,"[1056, 505, 251, 143]"
198,55,"[1359, 452, 230, 314]"
199,55,"[1003, 480, 288, 97]"
200,55,"[929, 524, 439, 274]"
201,55,"[1392, 595, 123, 214]"
202,55,"[1499, 692, 102, 150]"
203,56,"[1419, 459, 42, 58]"
204,56,"[1374, 489, 119, 94]"
205,56,"[1479, 493, 105, 109]"
206,56,"[1400, 501, 66, 67]"
207,56,"[1495, 533, 93, 97]"
208,57,"[1447, 462, 93, 164]"
209,57,"[1448, 540, 93, 118]"
210,57,"[1239, 471, 44, 35]"
211,57,"[1340, 466, 44, 40]"
212,58,"[510, 445, 136, 88]"
213,59,"[1140, 465, 68, 33]"
214,59,"[1262, 461, 44, 35]"
215,59,"[1514, 459, 68, 50]"
216,59,"[1121, 472, 152, 98]"
217,60,"[1404, 597, 105, 92]"
218,60,"[981, 388, 192, 81]"
219,60,"[1078, 458, 320, 78]"
220,60,"[963, 561, 536, 190]"
221,60,"[544, 350, 417, 263]"
222,61,"[1128, 452, 135, 79]"
223,61,"[1248, 467, 51, 34]"
224,61,"[1227, 448, 122, 90]"
225,61,"[1330, 464, 43, 36]"
226,61,"[1412, 462, 92, 31]"
227,61,"[1540, 468, 62, 38]"
228,61,"[805, 518, 74, 37]"
229,61,"[1107, 485, 196, 124]"
230,61,"[1357, 473, 170, 90]"
231,61,"[1721, 507, 75, 47]"
232,61,"[1691, 477, 148, 101]"
233,61,"[1791, 464, 125, 142]"
234,61,"[1740, 479, 179, 347]"
235,61,"[764, 519, 140, 75]"
236,61,"[784, 548, 93, 49]"
237,62,"[1324, 440, 143, 81]"
238,62,"[1392, 450, 117, 86]"
239,62,"[1746, 483, 172, 357]"
240,63,"[1651, 508, 60, 64]"
241,63,"[1519, 550, 64, 60]"
242,63,"[1223, 454, 73, 35]"
243,63,"[1160, 437, 157, 80]"
244,63,"[1127, 475, 224, 130]"
245,63,"[1459, 553, 69, 58]"
246,63,"[1467, 397, 206, 177]"
247,64,"[1675, 501, 54, 61]"
248,64,"[1713, 507, 51, 51]"
249,64,"[1339, 470, 51, 33]"
250,64,"[1418, 467, 53, 42]"
251,64,"[1166, 493, 233, 109]"
252,65,"[1327, 447, 43, 48]"
253,65,"[1534, 452, 42, 59]"
254,65,"[1621, 449, 49, 66]"
255,65,"[1217, 450, 75, 33]"
256,65,"[1156, 427, 158, 108]"
257,65,"[1377, 448, 144, 85]"
258,65,"[1634, 437, 105, 116]"
259,65,"[1666, 441, 199, 121]"
260,65,"[1858, 445, 43, 68]"
261,65,"[1800, 436, 103, 118]"
262,65,"[1129, 470, 206, 147]"
263,66,"[1021, 382, 461, 353]"
264,66,"[1555, 474, 181, 120]"
265,66,"[1627, 455, 291, 306]"
266,67,"[661, 430, 267, 209]"
267,68,"[922, 462, 57, 45]"
268,68,"[890, 454, 121, 90]"
269,68,"[1127, 450, 146, 83]"
